users,items
0,1
424,4076
1311,1574
1671,410
997,1686
1422,2304
121,1928
168,117
574,1057
833,594
110,940
848,344
86,675
976,42
686,769
1660,3273
1850,931
769,2318
116,1889
1001,4084
1768,2250
1832,2878
314,588
1746,299
1259,911
275,484
829,730
920,111
417,2358
107,745
782,4042
509,3343
1489,673
768,961
1288,1305
817,2265
1649,631
381,2395
1039,385
953,102
1247,3613
561,1411
758,169
805,1188
1578,544
1404,931
1080,231
845,3839
72,334
364,191
1314,169
377,2530
1732,2710
261,483
953,1247
621,445
40,902
1788,3639
1596,336
238,2759
309,690
1521,3377
1873,844
1081,494
995,3053
1424,1937
1486,1305
919,42
457,824
698,720
314,3094
1773,1523
1072,1813
1514,991
245,1021
234,1541
1251,4391
378,791
1869,1648
53,1060
59,1149
115,516
670,1394
1155,930
1704,438
1597,114
392,828
1146,4330
309,403
1880,790
709,293
984,3908
1889,2303
703,1523
757,186
1111,3825
1118,3311
664,1783
1643,2061
330,423
652,703
1083,297
1219,589
325,1321
1387,105
199,2556
1687,546
1054,131
1580,4162
431,1757
450,2927
1703,2313
1220,116
619,2127
401,2928
1248,377
305,293
1817,42
1664,3574
1664,328
1609,149
525,2649
1617,2153
1070,592
1447,12
514,221
504,82
1802,754
277,2962
1639,771
513,3662
490,1909
735,185
379,184
1350,2323
59,938
1426,240
1300,3725
938,1450
1490,550
322,893
1472,2357
422,1097
96,1690
1548,51
767,805
935,1144
1286,953
1808,1808
414,643
902,624
1363,1557
1626,1731
911,449
947,4299
1185,4046
1463,65
283,191
1829,1984
230,2071
666,3262
1431,782
1218,351
1578,611
1497,403
496,1341
1203,3113
970,3346
121,87
1744,2041
926,1863
29,704
918,167
526,2217
571,1222
1258,334
1066,4380
1190,543
75,1441
1240,956
1013,301
1714,674
1182,4430
697,794
714,389
131,704
708,126
1397,996
278,765
1008,383
1010,1804
1451,1153
1002,1587
150,2127
1252,141
898,208
35,559
538,611
573,313
742,2546
242,1346
683,2382
121,1931
1389,2612
838,3320
1037,2850
1161,372
296,1756
481,127
291,650
1554,401
350,470
1470,2109
61,531
778,3158
55,784
1056,1500
1328,611
1194,1562
155,2193
1853,2854
1657,634
595,446
564,1677
269,2921
639,62
1199,1034
848,468
190,841
1757,2446
157,2210
1092,4069
864,1448
1640,2290
1381,181
1582,3775
906,828
957,683
1004,1996
1290,857
845,258
308,3075
293,882
1146,1222
317,3100
359,824
1794,2658
1611,956
1318,179
137,2046
1441,1187
1579,477
427,1110
261,1462
190,597
489,3536
710,1241
1642,439
249,630
191,2015
1144,2429
401,648
935,714
1380,242
1256,2026
1452,963
188,307
923,272
938,329
976,177
795,512
661,1619
1047,901
1348,119
1397,546
976,2176
1749,2266
1519,1232
106,1392
491,1818
1534,886
790,1538
1333,4461
866,304
1005,42
1178,122
1419,176
875,866
1392,1260
283,325
1844,122
1064,2879
1539,500
1155,3202
1119,977
655,429
1644,192
863,2771
1652,1629
846,1034
542,848
1179,1020
1238,1564
813,3210
922,138
91,1647
525,444
862,3411
1131,1683
728,1736
399,3389
1287,2151
1364,1473
216,1070
168,1068
1531,3378
1569,1969
83,511
1487,302
536,2082
525,1062
751,3837
1311,2414
1676,119
1525,1135
1508,1222
1538,1868
290,346
1070,4173
1854,1175
1145,2136
998,865
182,1170
891,252
987,893
169,1879
815,496
1427,336
833,512
285,118
211,143
1678,4131
698,3141
551,1451
167,811
1103,2670
969,967
847,309
1450,1065
459,924
1825,133
1751,3327
1044,973
924,2939
256,323
1705,932
355,1546
722,712
1732,2967
1769,185
1461,2141
620,344
1364,1298
1648,1600
1353,702
1753,434
496,192
1269,1684
1075,291
978,2503
1095,674
205,696
1369,695
1470,1386
780,3722
1531,824
1363,3110
1302,2098
1044,3842
289,592
1,61
760,759
71,1381
1616,165
735,3760
415,1504
1442,829
1718,1997
1057,665
1530,2645
557,1635
1051,451
633,496
1259,333
326,1220
694,877
1157,4063
967,2018
432,438
325,829
1479,2116
1141,342
76,1093
1177,682
1637,1095
827,897
1547,1192
1536,732
1164,4222
1721,245
293,1876
188,2434
805,891
1396,1337
241,6
1518,1815
1676,2595
661,3965
771,771
1242,4210
806,2403
1845,87
482,2201
783,4129
858,421
49,610
1294,157
1124,711
1271,377
1453,1996
1862,343
354,837
763,3803
86,1576
147,243
1342,2571
176,2371
970,960
541,493
393,959
340,960
947,352
1102,1654
1545,2185
502,3645
1352,3719
1760,2744
9,252
1692,683
894,1173
954,3949
962,2429
495,1032
238,924
1091,49
798,3647
719,1070
358,1312
1716,2453
359,91
356,2575
1348,3464
946,2277
651,99
455,2717
197,2539
400,720
212,531
330,2063
1565,516
941,137
1649,779
460,516
672,3065
69,1343
1389,311
1546,704
1072,1788
101,1733
1679,1013
1391,981
921,1752
1557,288
1332,418
733,4060
402,107
1054,1706
960,1914
907,258
893,1699
1718,1629
366,143
856,1300
996,349
1235,1829
61,349
1576,2631
185,2349
649,440
858,684
1006,106
1365,1958
400,764
1018,1686
1093,336
176,2152
1767,1889
456,1095
581,1015
1340,1691
660,3434
1707,473
514,3664
1433,875
936,683
1550,1207
667,559
953,3798
1418,1922
1071,1644
1768,923
340,2699
1212,625
1017,2596
779,913
220,1994
1388,324
1482,4093
853,115
850,2082
715,564
942,1178
39,614
208,2591
1775,2911
1833,1065
556,1325
1373,1684
1720,768
29,702
652,94
804,2107
556,516
