user,pred_ns,ground_truth_x,common_items,pred_no_ns,items_in_ns_not_in_noNs,items_in_noNs_not_in_ns,ns_higher_ranked,noNs_higher_ranked
1319,"[72, 3819, 1084, 4232, 3006, 1062, 1890, 4350, 47, 3914]","[120, 1502, 4457, 4403, 127, 371, 633, 3379]",[],"[1489, 617, 770, 553, 245, 544, 3493, 1156, 41, 937, 2367, 2025, 561, 2147, 1682, 740, 3632, 858, 1517, 2443]","[1890, 1062, 72, 4232, 3914, 3819, 47, 3006, 1084, 4350]","[770, 1156, 2443, 1682, 544, 3493, 553, 41, 937, 3632, 561, 2367, 1489, 858, 2147, 740, 617, 2025, 1517, 245]",[],[]
730,"[1618, 3870, 1772, 3528, 2606, 2034, 937, 3889, 0, 3598]","[1171, 926, 104, 624, 623, 3154, 208, 2994, 2802, 1030]",[],"[299, 1170, 1171, 101, 482, 1436, 251, 1669, 276, 112, 469, 460, 512, 2786, 370, 3121, 1168, 1799, 1315, 2088]","[0, 3528, 937, 1772, 2606, 3598, 3889, 1618, 2034, 3870]","[512, 1669, 1799, 1168, 1170, 1171, 276, 1436, 1315, 2088, 299, 3121, 460, 469, 482, 2786, 101, 112, 370, 251]",[],[]
1781,"[25, 4347, 1242, 3070, 407, 2461, 1866, 869, 1702, 807]","[444, 1187, 2156, 1519, 610, 2468, 3254, 3967, 1522, 540]",[],"[1522, 444, 610, 1187, 894, 1787, 2468, 1009, 1519, 3938, 596, 433, 875, 615, 592, 1812, 1653, 540, 3101, 1776]","[869, 1702, 807, 1866, 407, 25, 1242, 4347, 2461, 3070]","[1812, 540, 3101, 1187, 2468, 433, 444, 592, 596, 610, 3938, 615, 875, 1519, 1776, 1009, 1522, 1653, 1787, 894]",[],[]
415,"[990, 397, 2861, 4091, 2389, 965, 3268, 2842, 4024, 3239]","[3445, 1745, 3359]",[],"[2536, 1360, 813, 2938, 2357, 1764, 3359, 3358, 4013, 1608, 4055, 1346, 20, 2845, 800, 2558, 2806, 4075, 1606, 833]","[3268, 965, 3239, 2861, 397, 2389, 4024, 2842, 4091, 990]","[20, 2845, 3358, 3359, 800, 813, 4013, 2357, 833, 1346, 1606, 1608, 1360, 4055, 1764, 2536, 4075, 2806, 2938, 2558]",[],[]
117,"[2010, 2197, 4213, 2579, 2455, 537, 2380, 3547, 550, 2782]","[380, 1900, 1901]",[],"[735, 364, 545, 3807, 1596, 350, 927, 3051, 737, 1154, 939, 453, 1972, 1833, 1828, 636, 362, 380, 3697, 2142]","[550, 2380, 2579, 2197, 4213, 2455, 537, 2010, 3547, 2782]","[636, 1154, 927, 545, 1828, 1833, 939, 1972, 1596, 453, 2142, 735, 3807, 737, 350, 362, 3051, 364, 3697, 380]",[],[]
1314,"[4357, 3971, 1883, 3768, 4015, 3887, 2025, 1854, 916, 3250]","[659, 701, 702, 1252, 1862, 81, 549, 67, 641]",[],"[641, 67, 1117, 54, 736, 659, 1252, 663, 1347, 44, 42, 68, 563, 92, 701, 66, 1209, 1351, 647, 1250]","[3971, 4357, 2025, 3887, 4015, 3250, 916, 3768, 1883, 1854]","[641, 647, 659, 663, 42, 44, 563, 54, 1209, 701, 66, 67, 1347, 68, 1351, 92, 1117, 736, 1250, 1252]",[],[]
970,"[3819, 25, 530, 4304, 1297, 2889, 2355, 707, 1079, 29]","[1297, 1661, 1280, 213, 102, 3264, 3031, 1663, 564, 3265, 3159]",[],"[319, 2110, 733, 1306, 460, 629, 823, 540, 933, 745, 118, 369, 2084, 239, 808, 2529, 157, 1663, 2006, 1065]","[707, 2889, 3819, 4304, 1297, 530, 2355, 1079, 25, 29]","[1306, 540, 157, 2084, 933, 808, 1065, 823, 2110, 319, 460, 2006, 733, 2529, 745, 239, 369, 629, 118, 1663]",[],[]
826,"[3487, 2282, 514, 255, 456, 2388, 1409, 757, 2023, 2913]","[435, 3, 558, 1306, 2937, 1111, 927, 885, 1321]",[757],"[744, 885, 2010, 939, 141, 757, 315, 1185, 928, 102, 93, 923, 624, 2226, 118, 616, 1189, 438, 1758, 2231]","[2913, 1409, 514, 255, 2023, 456, 2282, 2388, 3487]","[141, 923, 928, 1185, 1189, 939, 2226, 438, 2231, 315, 2010, 93, 1758, 102, 744, 616, 624, 885, 118]",[],[757]
604,"[3535, 2760, 617, 2644, 4232, 1298, 2319, 1522, 2592, 1535]","[2175, 1137, 570, 2652, 488]",[],"[336, 649, 49, 925, 87, 581, 2175, 151, 168, 271, 44, 568, 3085, 2168, 332, 901, 1277, 2392, 2402, 2406]","[2592, 4232, 617, 2760, 3535, 2319, 1298, 1522, 2644, 1535]","[901, 649, 3085, 271, 151, 925, 168, 44, 49, 568, 581, 332, 336, 87, 2392, 2402, 2406, 2168, 1277, 2175]",[],[]
641,"[3361, 52, 1245, 2854, 4262, 4076, 4366, 1502, 298, 4371]","[3148, 1648, 1384, 176]",[],"[672, 489, 976, 151, 959, 730, 274, 1977, 673, 271, 1340, 962, 104, 681, 174, 281, 181, 285, 2300, 687]","[3361, 4262, 2854, 298, 4076, 4366, 4371, 52, 1245, 1502]","[271, 274, 151, 281, 285, 672, 673, 681, 174, 687, 181, 1977, 1340, 959, 962, 976, 730, 104, 489, 2300]",[],[]
823,"[2427, 162, 343, 2884, 3211, 3729, 932, 3802, 657, 1819]","[736, 93, 1182, 3478, 2408, 1525, 1189, 1901]",[],"[1182, 93, 896, 930, 2478, 1189, 1519, 890, 454, 929, 540, 606, 348, 931, 144, 95, 828, 2468, 726, 2152]","[162, 932, 2884, 3211, 3729, 657, 2427, 343, 3802, 1819]","[896, 144, 540, 1182, 929, 930, 931, 2468, 1189, 2478, 828, 454, 726, 348, 93, 606, 95, 2152, 1519, 890]",[],[]
