user,pred_no_ns,ground_truth,common_items,common_len,gt_len,common_len/K,not_in_pred,not_in_pred_len,not_in_pred_len/K,not_in_gt,not_in_gt_len,not_in_gt_len/K,not_in_pred/GT,common_len/GT
1319,[1489  617  770  553  245  544 3493 1156   41  937],"[120, 1502, 4457, 4403, 127, 371, 633, 3379]",[],0,8,0.0,"[120, 1502, 4457, 4403, 127, 371, 633, 3379]",8,0.8,"[1489, 617, 770, 553, 245, 544, 3493, 1156, 41, 937]",10,1.0,1.0,0.0
730,[ 299 1170 1171  101  482 1436  251 1669  276  112],"[1171, 926, 104, 624, 623, 3154, 208, 2994, 2802, 1030]",[1171],1,10,0.1,"[926, 104, 624, 623, 3154, 208, 2994, 2802, 1030]",9,0.9,"[299, 1170, 101, 482, 1436, 251, 1669, 276, 112]",9,0.9,0.9,0.1
1781,[1522  444  610 1187  894 1787 2468 1009 1519 3938],"[444, 1187, 2156, 1519, 610, 2468, 3254, 3967, 1522, 540]","[610, 1187, 2468, 1519, 1522, 444]",6,10,0.6,"[2156, 3254, 3967, 540]",4,0.4,"[894, 1787, 1009, 3938]",4,0.4,0.4,0.6
415,[2536 1360  813 2938 2357 1764 3359 3358 4013 1608],"[3445, 1745, 3359]",[3359],1,3,0.1,"[3445, 1745]",2,0.2,"[2536, 1360, 813, 2938, 2357, 1764, 3358, 4013, 1608]",9,0.9,0.6666666666666666,0.3333333333333333
117,[ 735  364  545 3807 1596  350  927 3051  737 1154],"[380, 1900, 1901]",[],0,3,0.0,"[380, 1900, 1901]",3,0.3,"[735, 364, 545, 3807, 1596, 350, 927, 3051, 737, 1154]",10,1.0,1.0,0.0
1314,[ 641   67 1117   54  736  659 1252  663 1347   44],"[659, 701, 702, 1252, 1862, 81, 549, 67, 641]","[641, 67, 659, 1252]",4,9,0.4,"[701, 702, 1862, 81, 549]",5,0.5,"[1117, 54, 736, 663, 1347, 44]",6,0.6,0.5555555555555556,0.4444444444444444
970,[ 319 2110  733 1306  460  629  823  540  933  745],"[1297, 1661, 1280, 213, 102, 3264, 3031, 1663, 564, 3265, 3159]",[],0,11,0.0,"[1297, 1661, 1280, 213, 102, 3264, 3031, 1663, 564, 3265, 3159]",11,1.1,"[319, 2110, 733, 1306, 460, 629, 823, 540, 933, 745]",10,1.0,1.0,0.0
826,[ 744  885 2010  939  141  757  315 1185  928  102],"[435, 3, 558, 1306, 2937, 1111, 927, 885, 1321]",[885],1,9,0.1,"[435, 3, 558, 1306, 2937, 1111, 927, 1321]",8,0.8,"[744, 2010, 939, 141, 757, 315, 1185, 928, 102]",9,0.9,0.8888888888888888,0.1111111111111111
604,[ 336  649   49  925   87  581 2175  151  168  271],"[2175, 1137, 570, 2652, 488]",[2175],1,5,0.1,"[1137, 570, 2652, 488]",4,0.4,"[336, 649, 49, 925, 87, 581, 151, 168, 271]",9,0.9,0.8,0.2
641,[ 672  489  976  151  959  730  274 1977  673  271],"[3148, 1648, 1384, 176]",[],0,4,0.0,"[3148, 1648, 1384, 176]",4,0.4,"[672, 489, 976, 151, 959, 730, 274, 1977, 673, 271]",10,1.0,1.0,0.0
823,[1182   93  896  930 2478 1189 1519  890  454  929],"[736, 93, 1182, 3478, 2408, 1525, 1189, 1901]","[93, 1182, 1189]",3,8,0.3,"[736, 3478, 2408, 1525, 1901]",5,0.5,"[896, 930, 2478, 1519, 890, 454, 929]",7,0.7,0.625,0.375
1368,[ 437 1117   67  701 1199   46 1111  663   90   38],"[537, 90, 2303, 560, 1955, 2040, 3006, 2451, 1247]",[90],1,9,0.1,"[537, 2303, 560, 1955, 2040, 3006, 2451, 1247]",8,0.8,"[437, 1117, 67, 701, 1199, 46, 1111, 663, 38]",9,0.9,0.8888888888888888,0.1111111111111111
550,[ 489 1648  171  181  976  182  281  952  948  676],"[495, 167, 2613, 489, 962, 1598, 3148]",[489],1,7,0.1,"[495, 167, 2613, 962, 1598, 3148]",6,0.6,"[1648, 171, 181, 976, 182, 281, 952, 948, 676]",9,0.9,0.8571428571428571,0.14285714285714285
101,[ 823  372  914  620  718  475  118 2832 1727 1800],"[1747, 276, 1744, 1749, 1751, 1748, 1745]",[],0,7,0.0,"[1747, 276, 1744, 1749, 1751, 1748, 1745]",7,0.7,"[823, 372, 914, 620, 718, 475, 118, 2832, 1727, 1800]",10,1.0,1.0,0.0
272,[ 927  928  726 1697 2893  393  799  933  374  102],"[374, 2940, 2722, 562, 726, 927, 2935, 2423]","[726, 374, 927]",3,8,0.3,"[2940, 2722, 562, 2935, 2423]",5,0.5,"[928, 1697, 2893, 393, 799, 933, 102]",7,0.7,0.625,0.375
1154,[ 371  930 1691 3807  737 1702  636 2054  828 1141],"[2142, 737]",[737],1,2,0.1,[2142],1,0.1,"[371, 930, 1691, 3807, 1702, 636, 2054, 828, 1141]",9,0.9,0.5,0.5
1554,[ 737  460  371 1154 3387  270  933 3492 3021  261],"[460, 737]","[737, 460]",2,2,0.2,[],0,0.0,"[371, 1154, 3387, 270, 933, 3492, 3021, 261]",8,0.8,0.0,1.0
666,[ 695  707 2554  898   20 1014 3116 2931  552   90],"[707, 2304, 548]",[707],1,3,0.1,"[2304, 548]",2,0.2,"[695, 2554, 898, 20, 1014, 3116, 2931, 552, 90]",9,0.9,0.6666666666666666,0.3333333333333333
1651,[ 582  184  581  181  168 1393  345  218  185   65],"[271, 2204, 164, 582, 181, 1040, 275]","[181, 582]",2,7,0.2,"[271, 2204, 164, 1040, 275]",5,0.5,"[184, 581, 168, 1393, 345, 218, 185, 65]",8,0.8,0.7142857142857143,0.2857142857142857
