user,pred_ns,ground_truth,common_items,common_len,gt_len,common_len/K,not_in_pred,not_in_pred_len,not_in_pred_len/K,not_in_gt,not_in_gt_len,not_in_gt_len/K,not_in_pred/GT,common_len/GT
1319,[  72 3819 1084 4232 3006 1062 1890 4350   47 3914],"[120, 1502, 4457, 4403, 127, 371, 633, 3379]",[],0,8,0.0,"[120, 1502, 4457, 4403, 127, 371, 633, 3379]",8,0.8,"[72, 3819, 1084, 4232, 3006, 1062, 1890, 4350, 47, 3914]",10,1.0,1.0,0.0
730,[1618 3870 1772 3528 2606 2034  937 3889    0 3598],"[1171, 926, 104, 624, 623, 3154, 208, 2994, 2802, 1030]",[],0,10,0.0,"[1171, 926, 104, 624, 623, 3154, 208, 2994, 2802, 1030]",10,1.0,"[1618, 3870, 1772, 3528, 2606, 2034, 937, 3889, 0, 3598]",10,1.0,1.0,0.0
1781,[  25 4347 1242 3070  407 2461 1866  869 1702  807],"[444, 1187, 2156, 1519, 610, 2468, 3254, 3967, 1522, 540]",[],0,10,0.0,"[444, 1187, 2156, 1519, 610, 2468, 3254, 3967, 1522, 540]",10,1.0,"[25, 4347, 1242, 3070, 407, 2461, 1866, 869, 1702, 807]",10,1.0,1.0,0.0
415,[ 990  397 2861 4091 2389  965 3268 2842 4024 3239],"[3445, 1745, 3359]",[],0,3,0.0,"[3445, 1745, 3359]",3,0.3,"[990, 397, 2861, 4091, 2389, 965, 3268, 2842, 4024, 3239]",10,1.0,1.0,0.0
117,[2010 2197 4213 2579 2455  537 2380 3547  550 2782],"[380, 1900, 1901]",[],0,3,0.0,"[380, 1900, 1901]",3,0.3,"[2010, 2197, 4213, 2579, 2455, 537, 2380, 3547, 550, 2782]",10,1.0,1.0,0.0
1314,[4357 3971 1883 3768 4015 3887 2025 1854  916 3250],"[659, 701, 702, 1252, 1862, 81, 549, 67, 641]",[],0,9,0.0,"[659, 701, 702, 1252, 1862, 81, 549, 67, 641]",9,0.9,"[4357, 3971, 1883, 3768, 4015, 3887, 2025, 1854, 916, 3250]",10,1.0,1.0,0.0
970,[3819   25  530 4304 1297 2889 2355  707 1079   29],"[1297, 1661, 1280, 213, 102, 3264, 3031, 1663, 564, 3265, 3159]",[1297],1,11,0.1,"[1661, 1280, 213, 102, 3264, 3031, 1663, 564, 3265, 3159]",10,1.0,"[3819, 25, 530, 4304, 2889, 2355, 707, 1079, 29]",9,0.9,0.9090909090909091,0.09090909090909091
826,[3487 2282  514  255  456 2388 1409  757 2023 2913],"[435, 3, 558, 1306, 2937, 1111, 927, 885, 1321]",[],0,9,0.0,"[435, 3, 558, 1306, 2937, 1111, 927, 885, 1321]",9,0.9,"[3487, 2282, 514, 255, 456, 2388, 1409, 757, 2023, 2913]",10,1.0,1.0,0.0
604,[3535 2760  617 2644 4232 1298 2319 1522 2592 1535],"[2175, 1137, 570, 2652, 488]",[],0,5,0.0,"[2175, 1137, 570, 2652, 488]",5,0.5,"[3535, 2760, 617, 2644, 4232, 1298, 2319, 1522, 2592, 1535]",10,1.0,1.0,0.0
641,[3361   52 1245 2854 4262 4076 4366 1502  298 4371],"[3148, 1648, 1384, 176]",[],0,4,0.0,"[3148, 1648, 1384, 176]",4,0.4,"[3361, 52, 1245, 2854, 4262, 4076, 4366, 1502, 298, 4371]",10,1.0,1.0,0.0
