user_id,recomm_items,true_items
107671,"466, 10357, 1330, 449, 1730, 592, 1070, 9621, 1248, 438, 1001, 1797, 913, 1539, 427, 1400, 442, 1018, 506, 167846",180316
199813,"470, 443, 456, 1000, 458, 167844, 412, 10405, 522, 647, 1656, 9665, 2328, 1132, 495, 687, 9833, 828, 168308, 1922",9944
205921,"470, 3103, 2328, 471, 887, 370, 647, 403, 468, 458, 9665, 828, 573, 1132, 12552, 422, 1342, 875, 1363, 1058",2708
139867,"786, 887, 10335, 525, 602, 2921, 167946, 9704, 454, 428, 1198, 10168, 456, 1294, 1290, 439, 371, 455, 522, 2563",379
333906,"468, 167844, 466, 456, 370, 522, 445, 418, 424, 1330, 422, 470, 436, 1000, 1120, 9621, 909, 898, 660, 915",466
190809,"512, 1248, 436, 471, 646, 886, 168177, 418, 560, 9713, 9621, 167775, 528, 12675, 1648, 1310, 370, 168653, 1362, 9933",3213
278714,"418, 492, 512, 1066, 168639, 506, 644, 412, 167810, 167831, 458, 592, 442, 466, 10357, 495, 10211, 474, 9552, 647",168414
288838,"506, 442, 418, 492, 1922, 1266, 443, 167775, 167762, 887, 1018, 559, 1007, 1306, 579, 10641, 540, 167865, 512, 546",875
17445,"506, 466, 492, 442, 418, 390, 167762, 1922, 1400, 386, 9665, 1812, 2643, 9704, 1797, 1018, 1855, 1306, 546, 167831",418
361397,"466, 10335, 492, 168639, 403, 422, 1248, 167684, 957, 386, 506, 370, 3055, 602, 10168, 914, 1400, 599, 660, 924",3014
4132,"167775, 886, 546, 442, 1797, 466, 473, 1363, 1922, 517, 813, 471, 1539, 876, 828, 573, 522, 733, 520, 168644",167775
258435,"957, 492, 602, 1922, 422, 466, 471, 1066, 646, 512, 9933, 1396, 573, 386, 3055, 497, 168639, 574, 1310, 167844",454
294485,"466, 370, 9996, 1330, 913, 600, 449, 602, 2874, 438, 492, 167762, 660, 1539, 468, 427, 167844, 506, 10168, 1797",168596
288673,"167775, 1248, 1330, 466, 1266, 696, 512, 167847, 370, 468, 473, 648, 1539, 442, 1363, 1797, 168177, 687, 915, 560",1315
