user_id,recomm_items,true_items
107671,"466, 10357, 1330, 474, 492, 1248, 384, 913, 1041, 168987, 600, 818, 646, 442, 167872, 1070, 9665, 1922, 1797, 167800",180316
199813,"443, 167844, 1000, 696, 10405, 412, 470, 2328, 1656, 9833, 458, 647, 384, 828, 9665, 3056, 646, 602, 495, 1551",9944
205921,"470, 2328, 167844, 828, 913, 1342, 9665, 384, 1132, 672, 660, 492, 696, 1058, 495, 647, 168308, 10405, 419, 887",2708
139867,"786, 1248, 696, 514, 167926, 468, 428, 12552, 552, 1816, 168301, 9996, 168644, 167956, 924, 483, 908, 9704, 3102, 2576",379
333906,"468, 786, 470, 418, 167844, 167847, 10335, 602, 456, 3104, 466, 386, 444, 2540, 424, 371, 497, 378, 168756, 167846",466
190809,"512, 436, 886, 471, 646, 418, 492, 1310, 957, 9621, 1248, 422, 1228, 9713, 647, 1330, 12675, 528, 560, 370",3213
278714,"418, 492, 10357, 458, 512, 592, 495, 672, 442, 168639, 9665, 613, 647, 412, 602, 474, 644, 546, 167810, 820",168414
288838,"506, 1400, 167762, 1922, 527, 813, 2874, 757, 9665, 167831, 492, 1812, 748, 386, 168848, 10641, 167775, 924, 168630, 422",875
17445,"506, 1400, 527, 1922, 167762, 2874, 386, 167831, 9665, 660, 168848, 813, 757, 748, 924, 1812, 422, 9704, 492, 168630",418
361397,"10335, 492, 3055, 168639, 466, 167684, 9665, 957, 386, 167844, 422, 471, 10168, 506, 3213, 924, 602, 777, 660, 418",3014
4132,"167775, 886, 786, 1797, 876, 449, 1330, 473, 167847, 546, 442, 1363, 168644, 540, 522, 517, 1922, 733, 10878, 10322",167775
258435,"957, 422, 602, 1922, 492, 466, 512, 1330, 9933, 456, 168639, 592, 9665, 390, 1066, 647, 481, 1310, 386, 419",454
294485,"466, 1330, 474, 600, 913, 168987, 384, 3106, 168177, 422, 646, 181854, 390, 1922, 2485, 10335, 602, 1041, 1248, 167800",168596
288673,"786, 168177, 1266, 466, 1330, 517, 512, 1114, 696, 422, 687, 386, 468, 168642, 2540, 648, 604, 168756, 9824, 436",1315
305037,"466, 1330, 474, 600, 913, 168987, 384, 3106, 168177, 422, 390, 181854, 2485, 1248, 534, 1041, 646, 167800, 602, 818",786
361441,"867, 418, 786, 456, 422, 648, 492, 886, 512, 468, 592, 1066, 167846, 1024, 454, 1656, 471, 644, 3154, 757",454
37212,"422, 599, 1330, 887, 471, 167706, 645, 167847, 167775, 522, 442, 573, 592, 180728, 546, 2648, 995, 688, 1066, 456",167790
45368,"443, 457, 456, 1066, 449, 458, 492, 602, 1322, 167844, 696, 442, 3213, 384, 454, 527, 1266, 1018, 1877, 905",1322
361421,"1018, 786, 466, 512, 887, 528, 2832, 1266, 696, 506, 180558, 1855, 820, 424, 724, 443, 1979, 384, 1106, 379",1018
265651,"525, 540, 458, 828, 3102, 449, 470, 468, 3213, 454, 640, 522, 428, 646, 3104, 1266, 9665, 813, 403, 1905",403
90260,"412, 370, 418, 602, 458, 600, 647, 466, 646, 1058, 422, 1066, 470, 660, 167844, 167865, 167846, 1363, 3055, 384",887
155080,"471, 887, 733, 976, 724, 1048, 390, 786, 1001, 1730, 470, 10335, 1132, 167847, 2921, 514, 540, 1058, 9933, 1070",180615
161638,"2168, 828, 386, 646, 167872, 1066, 9713, 9665, 1024, 1905, 682, 1266, 168639, 512, 2540, 422, 857, 1922, 546, 1310",418
17332,"466, 1330, 474, 600, 913, 384, 168987, 168177, 3106, 422, 646, 181854, 390, 602, 1248, 2485, 10335, 1041, 1922, 818",466
283735,"887, 456, 9704, 786, 12187, 454, 688, 646, 370, 1907, 457, 1362, 1786, 739, 602, 1400, 2316, 497, 765, 169054",887
231238,"418, 168639, 468, 412, 724, 512, 600, 370, 11578, 9713, 9665, 458, 660, 884, 502, 509, 167762, 3106, 648, 527",786
361505,"3213, 449, 492, 1248, 696, 454, 646, 602, 422, 436, 9665, 1269, 528, 168639, 10335, 9704, 443, 10322, 386, 1922",2501
361506,"418, 168639, 724, 468, 412, 512, 11578, 370, 600, 9713, 660, 9665, 458, 884, 502, 509, 167762, 527, 3106, 695",418
195509,"602, 9996, 456, 419, 786, 466, 1248, 449, 9933, 887, 886, 3213, 454, 957, 1362, 646, 1330, 924, 427, 3055",10122
34908,"913, 466, 168639, 546, 474, 1001, 512, 1922, 1248, 1342, 733, 599, 492, 167775, 2549, 769, 386, 724, 3106, 540",12504
126885,"653, 540, 828, 168639, 442, 644, 445, 418, 660, 648, 1058, 468, 383, 813, 525, 458, 743, 2316, 647, 527",733
330777,"466, 646, 1330, 600, 370, 3106, 412, 1248, 520, 168987, 3213, 512, 474, 1922, 913, 168177, 9552, 443, 9621, 500",466
283252,"696, 786, 466, 442, 602, 10335, 1263, 379, 443, 456, 468, 3102, 424, 470, 168639, 9619, 1248, 600, 644, 2916",181264
343577,"886, 696, 786, 528, 10335, 540, 3102, 471, 2469, 443, 9713, 648, 769, 430, 1248, 1716, 640, 748, 1330, 1816",2565
343637,"886, 786, 1330, 470, 9713, 528, 167775, 1816, 1716, 168644, 561, 443, 546, 471, 456, 1001, 1905, 3102, 10357, 1797",2988
23816,"1269, 646, 3213, 687, 10335, 9933, 644, 613, 696, 512, 528, 481, 724, 449, 1310, 647, 466, 886, 9665, 168639",442
361555,"1269, 646, 3213, 10335, 687, 9933, 613, 644, 696, 528, 481, 512, 724, 449, 1310, 168639, 886, 647, 9665, 1213",412
162892,"167775, 660, 1132, 9769, 428, 573, 786, 645, 1120, 470, 1058, 1342, 1539, 383, 442, 520, 1797, 599, 181971, 1032",9769
243440,"1248, 466, 913, 906, 168177, 386, 786, 384, 1266, 9996, 818, 1342, 1105, 1066, 1812, 1922, 436, 696, 10168, 167926",1248
341474,"565, 492, 887, 648, 442, 412, 1058, 1400, 1363, 1730, 560, 546, 10335, 748, 915, 167926, 886, 599, 1441, 430",10604
272394,"3172, 509, 168639, 167846, 456, 1464, 3102, 828, 418, 1132, 514, 2534, 517, 3154, 2403, 424, 428, 1066, 2789, 3106",2525
43413,"887, 456, 9704, 12187, 786, 688, 646, 457, 1907, 454, 370, 1786, 1400, 739, 602, 1362, 1058, 995, 2316, 765",167762
305504,"786, 540, 1396, 886, 9933, 12552, 167775, 1248, 168644, 438, 1048, 573, 602, 492, 456, 497, 887, 168630, 2448, 974",813
22694,"466, 436, 418, 492, 915, 370, 499, 600, 3213, 443, 1539, 442, 468, 512, 1248, 422, 1551, 648, 9713, 168177",9996
137922,"466, 468, 424, 1330, 10335, 474, 600, 696, 167844, 390, 786, 442, 386, 168177, 1041, 2485, 602, 370, 384, 167847",383
266571,"687, 1643, 887, 1269, 1120, 9665, 645, 471, 9996, 3213, 167844, 370, 168642, 813, 418, 888, 384, 971, 449, 398",454
361594,"466, 786, 10335, 442, 818, 906, 10827, 9996, 1730, 648, 474, 520, 378, 167872, 1001, 168309, 602, 167762, 2593, 383",167663
361596,"466, 1330, 474, 600, 913, 168987, 384, 168177, 3106, 422, 390, 181854, 646, 412, 10335, 1248, 2485, 534, 818, 1041",466
87209,"786, 1248, 696, 514, 468, 167926, 428, 12552, 552, 1816, 168644, 168301, 167956, 483, 924, 908, 9704, 9996, 10335, 2576",180462
298216,"468, 1539, 786, 470, 418, 167844, 924, 386, 3104, 915, 9713, 424, 2540, 602, 857, 733, 1310, 378, 494, 2456",483
361591,"886, 1330, 167775, 168644, 528, 10335, 786, 443, 471, 456, 9665, 876, 9713, 419, 560, 448, 470, 602, 509, 1228",886
195738,"371, 786, 470, 167844, 428, 468, 1551, 1909, 908, 1410, 592, 9933, 167775, 442, 167846, 167847, 2540, 438, 1000, 3213",386
40550,"10335, 443, 786, 528, 1330, 886, 3213, 733, 449, 468, 648, 428, 3102, 2840, 167861, 696, 579, 560, 505, 3104",443
128693,"786, 455, 10335, 528, 167865, 386, 540, 696, 733, 1228, 9704, 514, 389, 167847, 2539, 2469, 1193, 2374, 1167, 470",169022
103281,"696, 786, 424, 3213, 3102, 430, 379, 466, 2558, 456, 167926, 10405, 2907, 906, 9704, 1058, 1248, 168633, 1228, 2895",1656
225315,"471, 540, 512, 390, 1248, 9665, 724, 1070, 886, 648, 3096, 168642, 438, 1855, 514, 9621, 1064, 952, 397, 1380",786
241993,"867, 418, 786, 648, 456, 422, 512, 886, 167846, 592, 492, 1066, 1656, 468, 3154, 644, 1024, 454, 168639, 495",443
341932,"886, 1330, 167775, 10335, 168644, 528, 456, 786, 443, 471, 560, 419, 9665, 540, 449, 1248, 9713, 546, 876, 3102",418
145680,"390, 422, 1066, 168639, 466, 724, 957, 3213, 1269, 386, 167847, 1330, 1000, 9704, 2798, 905, 2962, 481, 1120, 2629",2482
325117,"436, 1248, 492, 370, 422, 3213, 512, 9621, 522, 471, 915, 1266, 10335, 1922, 386, 2525, 168046, 3103, 600, 167847",1266
294560,"602, 466, 383, 442, 422, 1797, 492, 1330, 786, 10335, 456, 468, 1396, 167775, 906, 1066, 10322, 957, 1551, 454",2706
361710,"924, 786, 645, 538, 167844, 168942, 1539, 506, 2485, 454, 168301, 592, 602, 1248, 2488, 743, 522, 468, 443, 168754",168750
30993,"442, 456, 443, 1066, 1266, 386, 470, 458, 424, 384, 1330, 167847, 12675, 492, 10228, 1979, 743, 457, 1018, 561",1962
49078,"1066, 456, 443, 974, 561, 470, 442, 386, 786, 492, 424, 458, 468, 9713, 3103, 907, 12675, 168639, 1330, 1266",9757
84490,"436, 492, 370, 1248, 422, 3213, 512, 9621, 522, 915, 10335, 1922, 471, 3103, 1266, 600, 386, 168046, 2525, 10168",602
361711,"454, 887, 449, 520, 3213, 10456, 757, 602, 456, 2476, 428, 786, 168942, 422, 600, 660, 9704, 2593, 9619, 2316",475
316078,"540, 471, 168639, 769, 1266, 1248, 525, 646, 384, 522, 1805, 3106, 724, 828, 167847, 379, 541, 10168, 660, 407",540
357165,"540, 168639, 769, 1266, 471, 1248, 525, 646, 1805, 384, 3106, 724, 828, 379, 522, 167847, 541, 660, 407, 886",540
228307,"390, 471, 168639, 466, 442, 724, 733, 386, 819, 645, 512, 1380, 9704, 522, 494, 168182, 167935, 534, 1812, 640",522
361725,"390, 471, 168639, 466, 733, 442, 645, 724, 386, 819, 512, 1380, 522, 9704, 534, 168182, 167935, 180778, 957, 1812",167844
357973,"643, 1248, 370, 471, 167790, 1362, 1066, 886, 640, 724, 167762, 512, 422, 439, 458, 2622, 696, 3213, 1024, 1308",643
361754,"390, 471, 466, 168639, 442, 724, 733, 645, 386, 819, 512, 522, 1380, 9704, 1812, 640, 494, 534, 167935, 644",886
201677,"512, 471, 592, 757, 9621, 646, 492, 390, 436, 422, 506, 168653, 370, 168177, 647, 613, 600, 418, 672, 1363",600
104328,"786, 1248, 696, 514, 167926, 468, 428, 12552, 552, 1816, 168301, 168644, 167956, 483, 924, 10335, 9996, 9704, 2576, 3102",3102
131106,"466, 1330, 474, 600, 913, 168987, 384, 168177, 3106, 390, 646, 422, 181854, 2485, 534, 1041, 10335, 818, 1248, 167800",466
361783,"887, 456, 12187, 9704, 688, 457, 454, 1907, 1786, 646, 786, 370, 739, 1400, 602, 1362, 497, 995, 169054, 1058",1266
326564,"422, 466, 1066, 2962, 412, 527, 660, 386, 1322, 599, 454, 905, 604, 168308, 653, 9704, 2098, 403, 647, 168596",1997
258412,"443, 696, 786, 466, 645, 3102, 167861, 167926, 646, 648, 430, 458, 876, 370, 10357, 1248, 468, 457, 1007, 3104",10553
28353,"466, 1330, 474, 600, 913, 168987, 384, 168177, 3106, 390, 422, 181854, 2485, 1922, 1041, 10335, 646, 167800, 818, 602",466
278797,"167775, 786, 602, 466, 168754, 1363, 924, 492, 442, 887, 738, 168644, 1396, 1400, 454, 403, 506, 167847, 913, 2874",719
361586,"786, 466, 1248, 696, 468, 514, 428, 10335, 167926, 1816, 602, 167956, 500, 552, 403, 2485, 818, 913, 370, 600",468
25354,"456, 887, 1058, 512, 422, 412, 458, 492, 527, 592, 2331, 647, 370, 1933, 957, 481, 1400, 688, 579, 168639",168758
